what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1338018512884
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1338018512885
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1338018512885
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1338018512885
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1338018512890
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1338018512896
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1338018512897
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1338018512897
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1338018512897
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1338018512903
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1338018512908
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1338018512909
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1338018512910
os,sysinfo,,,"win32",1338018512917
arch,sysinfo,,,"x86_64",1338018512917
ws,sysinfo,,,"win32",1338018512917
locale,sysinfo,,,"en_US",1338018512917
processors,sysinfo,,,"8",1338018512917
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338018512917
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1338018512917
java.specification.name,sysinfo,,,"Java Platform API Specification",1338018512917
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338018512917
java.specification.version,sysinfo,,,"1.6",1338018512917
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338018512917
java.version,sysinfo,,,"1.6.0_32",1338018512917
java.vm.info,sysinfo,,,"mixed mode",1338018512917
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338018512917
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338018512917
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338018512917
java.vm.specification.version,sysinfo,,,"1.0",1338018512917
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338018512917
java.vm.version,sysinfo,,,"20.7-b02",1338018512917
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1338018512939
