what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1350961949066
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1350961949072
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1350961949088
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1350961949088
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1350961949100
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1350961949114
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1350961949134
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1350961949154
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1350961949181
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1350961949197
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1350961949213
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1350961949227
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1350961949252
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1350961949252
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1350961949269
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1350961949289
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1350961949306
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1350961949323
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1350961949345
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1350961949358
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1350961949379
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1350961949387
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1350961949401
os,sysinfo,,,"win32",1350961949424
arch,sysinfo,,,"x86_64",1350961949424
ws,sysinfo,,,"win32",1350961949424
locale,sysinfo,,,"en_US",1350961949424
processors,sysinfo,,,"8",1350961949424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350961949424
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1350961949424
java.specification.name,sysinfo,,,"Java Platform API Specification",1350961949424
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350961949424
java.specification.version,sysinfo,,,"1.7",1350961949424
java.vendor,sysinfo,,,"Oracle Corporation",1350961949425
java.version,sysinfo,,,"1.7.0_05",1350961949425
java.vm.info,sysinfo,,,"mixed mode",1350961949425
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350961949425
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350961949425
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350961949425
java.vm.specification.version,sysinfo,,,"1.7",1350961949425
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350961949425
java.vm.version,sysinfo,,,"23.1-b03",1350961949425
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350961949473
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1350961950301
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1350961950607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350961951810
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1350961953843
